,max_depth,minInstancesPerNode,training_rmse,testing_rmse,Best Model
0,2.0,2.0,47.93477581054897,49.043095867441785,0.0
1,2.0,3.0,47.93477581054897,49.043095867441785,0.0
2,2.0,4.0,47.93477581054896,49.043095867441785,0.0
3,2.0,5.0,47.93477581054897,49.043095867441785,0.0
4,2.0,6.0,47.93477581054897,49.043095867441785,0.0
5,2.0,7.0,47.93477581054897,49.043095867441785,0.0
6,3.0,2.0,47.769356617773965,48.884110568962555,0.0
7,3.0,3.0,47.769356617773965,48.884110568962555,0.0
8,3.0,4.0,47.769356617773965,48.88411056896255,0.0
9,3.0,5.0,47.769356617773965,48.884110568962555,0.0
10,3.0,6.0,47.769356617773965,48.884110568962555,0.0
11,3.0,7.0,47.769356617773965,48.884110568962555,0.0
12,4.0,2.0,47.64629160390217,48.77002923322051,0.0
13,4.0,3.0,47.64629160390217,48.77002923322051,0.0
14,4.0,4.0,47.64629160390217,48.77002923322051,0.0
15,4.0,5.0,47.64629160390217,48.77002923322051,0.0
16,4.0,6.0,47.64629160390217,48.77002923322051,0.0
17,4.0,7.0,47.64629160390217,48.77002923322051,0.0
18,5.0,2.0,47.507475019083735,48.63394272201916,0.0
19,5.0,3.0,47.50747501908374,48.63394272201916,0.0
20,5.0,4.0,47.50747501908374,48.63394272201916,0.0
21,5.0,5.0,47.50747501908374,48.63394272201916,0.0
22,5.0,6.0,47.50747501908374,48.63394272201916,0.0
23,5.0,7.0,47.50747501908374,48.63394272201916,0.0
24,6.0,2.0,47.3220605109646,48.46054676461679,0.0
25,6.0,3.0,47.3220605109646,48.46054676461679,0.0
26,6.0,4.0,47.3220605109646,48.46054676461679,0.0
27,6.0,5.0,47.3220605109646,48.46054676461679,0.0
28,6.0,6.0,47.3220605109646,48.46054676461679,0.0
29,6.0,7.0,47.3220605109646,48.46054676461679,0.0
30,7.0,2.0,47.11894863247643,48.301677305578444,0.0
31,7.0,3.0,47.119250394409484,48.301677317837395,0.0
32,7.0,4.0,47.11925039440948,48.301677317837395,0.0
33,7.0,5.0,47.11925039440948,48.301677317837395,0.0
34,7.0,6.0,47.119250394409484,48.301677317837395,0.0
35,7.0,7.0,47.11928072667872,48.301571051458424,0.0
36,8.0,2.0,46.83822797528943,48.173304232498616,0.0
37,8.0,3.0,46.83920964837518,48.17267159994987,0.0
38,8.0,4.0,46.83941321170979,48.17239113705199,0.0
39,8.0,5.0,46.84087479558699,48.17311706562104,0.0
40,8.0,6.0,46.85423772776342,48.15328682175663,0.0
41,8.0,7.0,46.86257618517,48.14044031973364,0.0
42,9.0,2.0,46.48095591477421,47.97752948564086,0.0
43,9.0,3.0,46.49623705607736,47.95792223477749,0.0
44,9.0,4.0,46.50259654188944,47.98104520533448,0.0
45,9.0,5.0,46.504942474861174,47.97782307082085,0.0
46,9.0,6.0,46.52014761436183,47.90657211761362,0.0
47,9.0,7.0,46.52936841502489,47.89434333357327,0.0
48,10.0,2.0,45.9210038515849,47.94231947952475,0.0
49,10.0,3.0,45.94470411900906,47.9112402392735,0.0
50,10.0,4.0,45.95735092949829,47.918052112508725,0.0
51,10.0,5.0,45.96460286513482,47.90840492543954,0.0
52,10.0,6.0,45.96782327977661,47.7907782919569,0.0
53,10.0,7.0,45.986670636548126,47.77839694759787,1000.0
